"Module","File","ApiVersion","Command","Method","Uri","Disposition","OracleCommands"
"Cmdlets","GetMgApplicationSynchronizationTemplateSchemaDirectory_List.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectory","GET","/applications/{param}/synchronization/templates/{param}/schema/directories","matched","Get-MgApplicationSynchronizationTemplateSchemaDirectory"
"Cmdlets","GetMgApplicationSynchronizationTemplateSchemaDirectory.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectory","","","dispatcher",""
"Cmdlets","GetMgApplicationSynchronizationTemplateSchemaDirectoryCount.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateSchemaDirectoryCount","GET","/applications/{param}/synchronization/templates/{param}/schema/directories/$count","matched","Get-MgApplicationSynchronizationTemplateSchemaDirectoryCount"
"Cmdlets","GetMgApplicationSynchronizationTemplateSchemaFilterOperators.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateSchemaFilterOperators","GET","/applications/{param}/synchronization/templates/{param}/schema/filterOperators","mismatch","Invoke-MgFilterApplicationSynchronizationTemplateSchemaOperator"
"Cmdlets","GetMgApplicationSynchronizationTemplateSchemaFunctions.g.cs","v1.0","Get-MgApplicationSynchronizationTemplateSchemaFunctions","GET","/applications/{param}/synchronization/templates/{param}/schema/functions","mismatch","Invoke-MgFunctionApplicationSynchronizationTemplateSchema"
"Cmdlets","GetMgApplicationTemplate_Get.g.cs","v1.0","Get-MgApplicationTemplate","GET","/applicationTemplates/{param}","matched","Get-MgApplicationTemplate"
"Cmdlets","GetMgApplicationTemplate_List.g.cs","v1.0","Get-MgApplicationTemplate","GET","/applicationTemplates","matched","Get-MgApplicationTemplate"
"Cmdlets","GetMgApplicationTemplate.g.cs","v1.0","Get-MgApplicationTemplate","","","dispatcher",""
"Cmdlets","GetMgApplicationTemplateCount.g.cs","v1.0","Get-MgApplicationTemplateCount","GET","/applicationTemplates/$count","matched","Get-MgApplicationTemplateCount"
"Cmdlets","GetMgApplicationTokenIssuancePolicy.g.cs","v1.0","Get-MgApplicationTokenIssuancePolicy","GET","/applications/{param}/tokenIssuancePolicies","matched","Get-MgApplicationTokenIssuancePolicy"
"Cmdlets","GetMgApplicationTokenIssuancePolicyByRef.g.cs","v1.0","Get-MgApplicationTokenIssuancePolicyByRef","GET","/applications/{param}/tokenIssuancePolicies/$ref","matched","Get-MgApplicationTokenIssuancePolicyByRef"
"Cmdlets","GetMgApplicationTokenIssuancePolicyCount.g.cs","v1.0","Get-MgApplicationTokenIssuancePolicyCount","GET","/applications/{param}/tokenIssuancePolicies/$count","matched","Get-MgApplicationTokenIssuancePolicyCount"
"Cmdlets","GetMgApplicationTokenLifetimePolicy.g.cs","v1.0","Get-MgApplicationTokenLifetimePolicy","GET","/applications/{param}/tokenLifetimePolicies","matched","Get-MgApplicationTokenLifetimePolicy"
"Cmdlets","GetMgApplicationTokenLifetimePolicyByRef.g.cs","v1.0","Get-MgApplicationTokenLifetimePolicyByRef","GET","/applications/{param}/tokenLifetimePolicies/$ref","matched","Get-MgApplicationTokenLifetimePolicyByRef"
"Cmdlets","GetMgApplicationTokenLifetimePolicyCount.g.cs","v1.0","Get-MgApplicationTokenLifetimePolicyCount","GET","/applications/{param}/tokenLifetimePolicies/$count","matched","Get-MgApplicationTokenLifetimePolicyCount"
"Cmdlets","GetMgGroupAppRoleAssignment_Get.g.cs","v1.0","Get-MgGroupAppRoleAssignment","GET","/groups/{param}/appRoleAssignments/{param}","matched","Get-MgGroupAppRoleAssignment"
"Cmdlets","GetMgGroupAppRoleAssignment_List.g.cs","v1.0","Get-MgGroupAppRoleAssignment","GET","/groups/{param}/appRoleAssignments","matched","Get-MgGroupAppRoleAssignment"
"Cmdlets","GetMgGroupAppRoleAssignment.g.cs","v1.0","Get-MgGroupAppRoleAssignment","","","dispatcher",""
"Cmdlets","GetMgGroupAppRoleAssignmentCount.g.cs","v1.0","Get-MgGroupAppRoleAssignmentCount","GET","/groups/{param}/appRoleAssignments/$count","matched","Get-MgGroupAppRoleAssignmentCount"
"Cmdlets","GetMgServicePrincipal_Get.g.cs","v1.0","Get-MgServicePrincipal","GET","/servicePrincipals/{param}","matched","Get-MgServicePrincipal"
"Cmdlets","GetMgServicePrincipal_List.g.cs","v1.0","Get-MgServicePrincipal","GET","/servicePrincipals","matched","Get-MgServicePrincipal"
"Cmdlets","GetMgServicePrincipal.g.cs","v1.0","Get-MgServicePrincipal","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalAppManagementPolicy_Get.g.cs","v1.0","Get-MgServicePrincipalAppManagementPolicy","GET","/servicePrincipals/{param}/appManagementPolicies/{param}","matched","Get-MgServicePrincipalAppManagementPolicy"
"Cmdlets","GetMgServicePrincipalAppManagementPolicy_List.g.cs","v1.0","Get-MgServicePrincipalAppManagementPolicy","GET","/servicePrincipals/{param}/appManagementPolicies","matched","Get-MgServicePrincipalAppManagementPolicy"
"Cmdlets","GetMgServicePrincipalAppManagementPolicy.g.cs","v1.0","Get-MgServicePrincipalAppManagementPolicy","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalAppManagementPolicyCount.g.cs","v1.0","Get-MgServicePrincipalAppManagementPolicyCount","GET","/servicePrincipals/{param}/appManagementPolicies/$count","matched","Get-MgServicePrincipalAppManagementPolicyCount"
"Cmdlets","GetMgServicePrincipalAppRoleAssignedTo_Get.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignedTo","GET","/servicePrincipals/{param}/appRoleAssignedTo/{param}","matched","Get-MgServicePrincipalAppRoleAssignedTo"
"Cmdlets","GetMgServicePrincipalAppRoleAssignedTo_List.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignedTo","GET","/servicePrincipals/{param}/appRoleAssignedTo","matched","Get-MgServicePrincipalAppRoleAssignedTo"
"Cmdlets","GetMgServicePrincipalAppRoleAssignedTo.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignedTo","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalAppRoleAssignedToCount.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignedToCount","GET","/servicePrincipals/{param}/appRoleAssignedTo/$count","matched","Get-MgServicePrincipalAppRoleAssignedToCount"
"Cmdlets","GetMgServicePrincipalAppRoleAssignment_Get.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignment","GET","/servicePrincipals/{param}/appRoleAssignments/{param}","matched","Get-MgServicePrincipalAppRoleAssignment"
"Cmdlets","GetMgServicePrincipalAppRoleAssignment_List.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignment","GET","/servicePrincipals/{param}/appRoleAssignments","matched","Get-MgServicePrincipalAppRoleAssignment"
"Cmdlets","GetMgServicePrincipalAppRoleAssignment.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignment","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalAppRoleAssignmentCount.g.cs","v1.0","Get-MgServicePrincipalAppRoleAssignmentCount","GET","/servicePrincipals/{param}/appRoleAssignments/$count","matched","Get-MgServicePrincipalAppRoleAssignmentCount"
"Cmdlets","GetMgServicePrincipalClaimMappingPolicy.g.cs","v1.0","Get-MgServicePrincipalClaimMappingPolicy","GET","/servicePrincipals/{param}/claimsMappingPolicies","matched","Get-MgServicePrincipalClaimMappingPolicy"
"Cmdlets","GetMgServicePrincipalClaimMappingPolicyByRef.g.cs","v1.0","Get-MgServicePrincipalClaimMappingPolicyByRef","GET","/servicePrincipals/{param}/claimsMappingPolicies/$ref","matched","Get-MgServicePrincipalClaimMappingPolicyByRef"
"Cmdlets","GetMgServicePrincipalClaimMappingPolicyCount.g.cs","v1.0","Get-MgServicePrincipalClaimMappingPolicyCount","GET","/servicePrincipals/{param}/claimsMappingPolicies/$count","matched","Get-MgServicePrincipalClaimMappingPolicyCount"
"Cmdlets","GetMgServicePrincipalCount.g.cs","v1.0","Get-MgServicePrincipalCount","GET","/servicePrincipals/$count","matched","Get-MgServicePrincipalCount"
"Cmdlets","GetMgServicePrincipalCreatedObject_Get.g.cs","v1.0","Get-MgServicePrincipalCreatedObject","GET","/servicePrincipals/{param}/createdObjects/{param}","matched","Get-MgServicePrincipalCreatedObject"
"Cmdlets","GetMgServicePrincipalCreatedObject_List.g.cs","v1.0","Get-MgServicePrincipalCreatedObject","GET","/servicePrincipals/{param}/createdObjects","matched","Get-MgServicePrincipalCreatedObject"
"Cmdlets","GetMgServicePrincipalCreatedObject.g.cs","v1.0","Get-MgServicePrincipalCreatedObject","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalCreatedObjectAsServicePrincipal_Get.g.cs","v1.0","Get-MgServicePrincipalCreatedObjectAsServicePrincipal","GET","/servicePrincipals/{param}/createdObjects/{param}/servicePrincipal","matched","Get-MgServicePrincipalCreatedObjectAsServicePrincipal"
"Cmdlets","GetMgServicePrincipalCreatedObjectAsServicePrincipal_List.g.cs","v1.0","Get-MgServicePrincipalCreatedObjectAsServicePrincipal","GET","/servicePrincipals/{param}/createdObjects/servicePrincipal","matched","Get-MgServicePrincipalCreatedObjectAsServicePrincipal"
"Cmdlets","GetMgServicePrincipalCreatedObjectAsServicePrincipal.g.cs","v1.0","Get-MgServicePrincipalCreatedObjectAsServicePrincipal","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalCreatedObjectCount.g.cs","v1.0","Get-MgServicePrincipalCreatedObjectCount","GET","/servicePrincipals/{param}/createdObjects/$count","matched","Get-MgServicePrincipalCreatedObjectCount"
"Cmdlets","GetMgServicePrincipalCreatedObjectCountAsServicePrincipal.g.cs","v1.0","Get-MgServicePrincipalCreatedObjectCountAsServicePrincipal","GET","/servicePrincipals/{param}/createdObjects/servicePrincipal/$count","matched","Get-MgServicePrincipalCreatedObjectCountAsServicePrincipal"
"Cmdlets","GetMgServicePrincipalDelegatedPermissionClassification_Get.g.cs","v1.0","Get-MgServicePrincipalDelegatedPermissionClassification","GET","/servicePrincipals/{param}/delegatedPermissionClassifications/{param}","matched","Get-MgServicePrincipalDelegatedPermissionClassification"
"Cmdlets","GetMgServicePrincipalDelegatedPermissionClassification_List.g.cs","v1.0","Get-MgServicePrincipalDelegatedPermissionClassification","GET","/servicePrincipals/{param}/delegatedPermissionClassifications","matched","Get-MgServicePrincipalDelegatedPermissionClassification"
"Cmdlets","GetMgServicePrincipalDelegatedPermissionClassification.g.cs","v1.0","Get-MgServicePrincipalDelegatedPermissionClassification","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalDelegatedPermissionClassificationCount.g.cs","v1.0","Get-MgServicePrincipalDelegatedPermissionClassificationCount","GET","/servicePrincipals/{param}/delegatedPermissionClassifications/$count","matched","Get-MgServicePrincipalDelegatedPermissionClassificationCount"
"Cmdlets","GetMgServicePrincipalDelta.g.cs","v1.0","Get-MgServicePrincipalDelta","GET","/servicePrincipals/delta","matched","Get-MgServicePrincipalDelta"
"Cmdlets","GetMgServicePrincipalEndpoint_Get.g.cs","v1.0","Get-MgServicePrincipalEndpoint","GET","/servicePrincipals/{param}/endpoints/{param}","matched","Get-MgServicePrincipalEndpoint"
"Cmdlets","GetMgServicePrincipalEndpoint_List.g.cs","v1.0","Get-MgServicePrincipalEndpoint","GET","/servicePrincipals/{param}/endpoints","matched","Get-MgServicePrincipalEndpoint"
"Cmdlets","GetMgServicePrincipalEndpoint.g.cs","v1.0","Get-MgServicePrincipalEndpoint","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalEndpointCount.g.cs","v1.0","Get-MgServicePrincipalEndpointCount","GET","/servicePrincipals/{param}/endpoints/$count","matched","Get-MgServicePrincipalEndpointCount"
"Cmdlets","GetMgServicePrincipalFederatedIdentityCredential_Get.g.cs","v1.0","Get-MgServicePrincipalFederatedIdentityCredential","GET","/servicePrincipals/{param}/federatedIdentityCredentials/{param}","no-oracle",""
