OperationId,FirstModule,FirstPath,FirstMethod,SecondModule,SecondPath,SecondMethod
user.calendar.event.instance_GetCount,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/$count,Get
user.calendar.event.instance_delta,Calendar,/users/{user-id}/calendar/events/{event-id}/instances/microsoft.graph.delta(),Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/instances/microsoft.graph.delta(),Get
user.calendar.event_accept,Calendar,/users/{user-id}/calendar/events/{event-id}/microsoft.graph.accept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/microsoft.graph.accept,Post
user.calendar.event_cancel,Calendar,/users/{user-id}/calendar/events/{event-id}/microsoft.graph.cancel,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/microsoft.graph.cancel,Post
user.calendar.event_decline,Calendar,/users/{user-id}/calendar/events/{event-id}/microsoft.graph.decline,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/microsoft.graph.decline,Post
user.calendar.event_dismissReminder,Calendar,/users/{user-id}/calendar/events/{event-id}/microsoft.graph.dismissReminder,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/microsoft.graph.dismissReminder,Post
user.calendar.event_forward,Calendar,/users/{user-id}/calendar/events/{event-id}/microsoft.graph.forward,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/microsoft.graph.forward,Post
user.calendar.event_snoozeReminder,Calendar,/users/{user-id}/calendar/events/{event-id}/microsoft.graph.snoozeReminder,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/microsoft.graph.snoozeReminder,Post
user.calendar.event_tentativelyAccept,Calendar,/users/{user-id}/calendar/events/{event-id}/microsoft.graph.tentativelyAccept,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/events/{event-id}/microsoft.graph.tentativelyAccept,Post
user.calendar.event_GetCount,Calendar,/users/{user-id}/calendar/events/$count,Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/$count,Get
user.calendar.event_delta,Calendar,/users/{user-id}/calendar/events/microsoft.graph.delta(),Get,Calendar,/users/{user-id}/calendars/{calendar-id}/events/microsoft.graph.delta(),Get
user.calendar_allowedCalendarSharingRole,Calendar,/users/{user-id}/calendar/microsoft.graph.allowedCalendarSharingRoles(User='{User}'),Get,Calendar,/users/{user-id}/calendars/{calendar-id}/microsoft.graph.allowedCalendarSharingRoles(User='{User}'),Get
user.calendar_getSchedule,Calendar,/users/{user-id}/calendar/microsoft.graph.getSchedule,Post,Calendar,/users/{user-id}/calendars/{calendar-id}/microsoft.graph.getSchedule,Post
deviceManagement.deviceManagementPartner_terminate,DeviceManagement.Actions,/deviceManagement/deviceManagementPartners/{deviceManagementPartner-id}/microsoft.graph.terminate,Post,DeviceManagement.Administration,/deviceManagement/deviceManagementPartners/{deviceManagementPartner-id}/microsoft.graph.terminate,Post
deviceManagement.exchangeConnector_sync,DeviceManagement.Actions,/deviceManagement/exchangeConnectors/{deviceManagementExchangeConnector-id}/microsoft.graph.sync,Post,DeviceManagement.Administration,/deviceManagement/exchangeConnectors/{deviceManagementExchangeConnector-id}/microsoft.graph.sync,Post
deviceManagement.remoteAssistancePartner_beginOnboarding,DeviceManagement.Actions,/deviceManagement/remoteAssistancePartners/{remoteAssistancePartner-id}/microsoft.graph.beginOnboarding,Post,DeviceManagement.Administration,/deviceManagement/remoteAssistancePartners/{remoteAssistancePartner-id}/microsoft.graph.beginOnboarding,Post
deviceManagement.remoteAssistancePartner_disconnect,DeviceManagement.Actions,/deviceManagement/remoteAssistancePartners/{remoteAssistancePartner-id}/microsoft.graph.disconnect,Post,DeviceManagement.Administration,/deviceManagement/remoteAssistancePartners/{remoteAssistancePartner-id}/microsoft.graph.disconnect,Post
deviceManagement.virtualEndpoint.cloudPC_endGracePeriod,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.endGracePeriod,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.endGracePeriod,Post
deviceManagement.virtualEndpoint.cloudPC_reboot,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.reboot,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.reboot,Post
deviceManagement.virtualEndpoint.cloudPC_rename,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.rename,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.rename,Post
deviceManagement.virtualEndpoint.cloudPC_restore,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.restore,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.restore,Post
deviceManagement.virtualEndpoint.cloudPC_troubleshoot,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.troubleshoot,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/cloudPCs/{cloudPC-id}/microsoft.graph.troubleshoot,Post
deviceManagement.virtualEndpoint.onPremisesConnection_runHealthCheck,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/onPremisesConnections/{cloudPcOnPremisesConnection-id}/microsoft.graph.runHealthChecks,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/onPremisesConnections/{cloudPcOnPremisesConnection-id}/microsoft.graph.runHealthChecks,Post
deviceManagement.virtualEndpoint.provisioningPolicy_assign,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/provisioningPolicies/{cloudPcProvisioningPolicy-id}/microsoft.graph.assign,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/provisioningPolicies/{cloudPcProvisioningPolicy-id}/microsoft.graph.assign,Post
deviceManagement.virtualEndpoint.userSetting_assign,DeviceManagement.Actions,/deviceManagement/virtualEndpoint/userSettings/{cloudPcUserSetting-id}/microsoft.graph.assign,Post,DeviceManagement.Administration,/deviceManagement/virtualEndpoint/userSettings/{cloudPcUserSetting-id}/microsoft.graph.assign,Post
deviceManagement.deviceEnrollmentConfiguration_assign,DeviceManagement.Actions,/deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/microsoft.graph.assign,Post,DeviceManagement.Enrollment,/deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/microsoft.graph.assign,Post
deviceManagement.deviceEnrollmentConfiguration_setPriority,DeviceManagement.Actions,/deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/microsoft.graph.setPriority,Post,DeviceManagement.Enrollment,/deviceManagement/deviceEnrollmentConfigurations/{deviceEnrollmentConfiguration-id}/microsoft.graph.setPriority,Post
deviceManagement.importedWindowsAutopilotDeviceIdentity_import,DeviceManagement.Actions,/deviceManagement/importedWindowsAutopilotDeviceIdentities/microsoft.graph.import,Post,DeviceManagement.Enrollment,/deviceManagement/importedWindowsAutopilotDeviceIdentities/microsoft.graph.import,Post
deviceManagement.windowsAutopilotDeviceIdentity_assignUserToDevice,DeviceManagement.Actions,/deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}/microsoft.graph.assignUserToDevice,Post,DeviceManagement.Enrollment,/deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}/microsoft.graph.assignUserToDevice,Post
deviceManagement.windowsAutopilotDeviceIdentity_unassignUserFromDevice,DeviceManagement.Actions,/deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}/microsoft.graph.unassignUserFromDevice,Post,DeviceManagement.Enrollment,/deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}/microsoft.graph.unassignUserFromDevice,Post
deviceManagement.windowsAutopilotDeviceIdentity_updateDeviceProperty,DeviceManagement.Actions,/deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}/microsoft.graph.updateDeviceProperties,Post,DeviceManagement.Enrollment,/deviceManagement/windowsAutopilotDeviceIdentities/{windowsAutopilotDeviceIdentity-id}/microsoft.graph.updateDeviceProperties,Post
deviceManagement.applePushNotificationCertificate_downloadApplePushNotificationCertificateSigningRequest,DeviceManagement.Administration,/deviceManagement/applePushNotificationCertificate/microsoft.graph.downloadApplePushNotificationCertificateSigningRequest(),Get,DeviceManagement.Functions,/deviceManagement/applePushNotificationCertificate/microsoft.graph.downloadApplePushNotificationCertificateSigningRequest(),Get
deviceManagement.auditEvent_getAuditActivityType,DeviceManagement.Administration,/deviceManagement/auditEvents/microsoft.graph.getAuditActivityTypes(category='{category}'),Get,DeviceManagement.Functions,/deviceManagement/auditEvents/microsoft.graph.getAuditActivityTypes(category='{category}'),Get
