"Module","ApiVersion","Cmdlet","Verb","Noun","RequestPath","IsWorker","File"
"Applications","v1.0","Get-MgServicePrincipalClaimMappingPolicy","Get","MgServicePrincipalClaimMappingPolicy","ServicePrincipals[ServicePrincipalId].ClaimsMappingPolicies","False","GetMgServicePrincipalClaimMappingPolicy.g.cs"
"Applications","v1.0","Get-MgServicePrincipalClaimMappingPolicyByRef","Get","MgServicePrincipalClaimMappingPolicyByRef","ServicePrincipals[ServicePrincipalId].ClaimsMappingPolicies.Ref","False","GetMgServicePrincipalClaimMappingPolicyByRef.g.cs"
"Applications","v1.0","Get-MgServicePrincipalClaimMappingPolicyCount","Get","MgServicePrincipalClaimMappingPolicyCount","ServicePrincipals[ServicePrincipalId].ClaimsMappingPolicies.Count","False","GetMgServicePrincipalClaimMappingPolicyCount.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCount","Get","MgServicePrincipalCount","ServicePrincipals.Count","False","GetMgServicePrincipalCount.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObject","Get","MgServicePrincipalCreatedObject","(dispatcher)","False","GetMgServicePrincipalCreatedObject.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObject_Get","Get","MgServicePrincipalCreatedObject_Get","ServicePrincipals[ServicePrincipalId].CreatedObjects[DirectoryObjectId]","True","GetMgServicePrincipalCreatedObject_Get.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObject_List","Get","MgServicePrincipalCreatedObject_List","ServicePrincipals[ServicePrincipalId].CreatedObjects","True","GetMgServicePrincipalCreatedObject_List.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObjectAsServicePrincipal","Get","MgServicePrincipalCreatedObjectAsServicePrincipal","(dispatcher)","False","GetMgServicePrincipalCreatedObjectAsServicePrincipal.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObjectAsServicePrincipal_Get","Get","MgServicePrincipalCreatedObjectAsServicePrincipal_Get","ServicePrincipals[ServicePrincipalId].CreatedObjects[DirectoryObjectId].GraphServicePrincipal","True","GetMgServicePrincipalCreatedObjectAsServicePrincipal_Get.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObjectAsServicePrincipal_List","Get","MgServicePrincipalCreatedObjectAsServicePrincipal_List","ServicePrincipals[ServicePrincipalId].CreatedObjects.GraphServicePrincipal","True","GetMgServicePrincipalCreatedObjectAsServicePrincipal_List.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObjectCount","Get","MgServicePrincipalCreatedObjectCount","ServicePrincipals[ServicePrincipalId].CreatedObjects.Count","False","GetMgServicePrincipalCreatedObjectCount.g.cs"
"Applications","v1.0","Get-MgServicePrincipalCreatedObjectCountAsServicePrincipal","Get","MgServicePrincipalCreatedObjectCountAsServicePrincipal","ServicePrincipals[ServicePrincipalId].CreatedObjects.GraphServicePrincipal.Count","False","GetMgServicePrincipalCreatedObjectCountAsServicePrincipal.g.cs"
"Applications","v1.0","Get-MgServicePrincipalDelegatedPermissionClassification","Get","MgServicePrincipalDelegatedPermissionClassification","(dispatcher)","False","GetMgServicePrincipalDelegatedPermissionClassification.g.cs"
"Applications","v1.0","Get-MgServicePrincipalDelegatedPermissionClassification_Get","Get","MgServicePrincipalDelegatedPermissionClassification_Get","ServicePrincipals[ServicePrincipalId].DelegatedPermissionClassifications[DelegatedPermissionClassificationId]","True","GetMgServicePrincipalDelegatedPermissionClassification_Get.g.cs"
